,date,dji
501,2024-01-31,10931771.165322928
502,2024-02-01,10860240.326017672
503,2024-02-02,10937836.434644002
504,2024-02-05,10965905.807634281
505,2024-02-06,10922132.076629087
506,2024-02-07,10985000.626751903
507,2024-02-08,11010097.373242762
508,2024-02-09,11018591.86182654
509,2024-02-12,10997196.729866372
510,2024-02-13,11009261.704036193
511,2024-02-14,10916377.960735995
512,2024-02-15,10923566.716184512
513,2024-02-16,11024208.18120153
514,2024-02-20,10974295.837567244
515,2024-02-21,10947952.254839992
516,2024-02-22,11050801.797933407
517,2024-02-23,11131247.182950215
518,2024-02-26,11136032.27816761
519,2024-02-27,11119847.854863819
520,2024-02-28,11077226.50280438
521,2024-02-29,11098753.87497144
522,2024-03-01,11091858.492755016
523,2024-03-04,11085957.690245874
524,2024-03-05,11068379.74408964
525,2024-03-06,11015513.665414052
526,2024-03-07,11033479.442093013
527,2024-03-08,11031345.818586884
528,2024-03-11,11000169.356365798
529,2024-03-12,11061648.828685146
530,2024-03-13,11110368.787932936
531,2024-03-14,11129660.30046753
532,2024-03-15,11040690.422786389
533,2024-03-18,11045606.646948429
534,2024-03-19,11043524.141505467
535,2024-03-20,11115339.463944873
536,2024-03-21,11282894.473648418
537,2024-03-22,11315048.846643142
538,2024-03-25,11211633.671068156
539,2024-03-26,11191088.65472371
540,2024-03-27,11226267.883543273
541,2024-03-28,11312112.89179773
542,2024-04-01,11324684.601550255
543,2024-04-02,11167746.591314197
544,2024-04-03,11134553.188122474
545,2024-04-04,11192591.081275942
546,2024-04-05,10999534.825625174
547,2024-04-08,11071065.664930431
548,2024-04-09,11090193.821915336
549,2024-04-10,10998766.943415415
550,2024-04-11,10959218.231457256
551,2024-04-12,10901149.222960988
552,2024-04-15,10831803.12522503
553,2024-04-16,10808145.46333857
554,2024-04-17,10796041.594990252
555,2024-04-18,10766893.186362235
556,2024-04-19,10754025.880853128
557,2024-04-22,10843612.509079013
558,2024-04-23,10911655.096204195
559,2024-04-24,10967618.2627504
560,2024-04-25,10825177.779733598
561,2024-04-26,10842989.090960816
562,2024-04-29,10890628.903308628
563,2024-04-30,10906343.262683725
564,2024-05-01,10766423.12243354
565,2024-05-02,10831879.802319782
566,2024-05-03,11012159.875965353
567,2024-05-06,11027257.48479571
568,2024-05-07,11054713.441027978
569,2024-05-08,11043321.891777283
570,2024-05-09,11113125.829557264
571,2024-05-10,11227559.17026938
572,2024-05-13,11263051.775041407
573,2024-05-14,11227628.06852843
574,2024-05-15,11269828.252197856
575,2024-05-16,11354387.530037418
576,2024-05-17,11354210.839340817
577,2024-05-20,11376412.747689242
578,2024-05-21,11323680.020482784
579,2024-05-22,11340444.522677306
580,2024-05-23,11292543.563702442
581,2024-05-24,11120226.795288604
582,2024-05-28,11103088.90898051
583,2024-05-29,11014129.032659551
