,account_value,date,daily_return,datadate
392,9850907.861216422,2023-08-24,-0.008523099027158,2023-08-24
393,9893205.660130218,2023-08-25,0.0042937970296448,2023-08-25
394,9933865.547448529,2023-08-28,0.0041098799231646,2023-08-28
395,9988332.392528048,2023-08-29,0.0054829456689706,2023-08-29
396,10011771.488277232,2023-08-30,0.0023466475511686,2023-08-30
397,9975923.243704066,2023-08-31,-0.0035806095469859,2023-08-31
398,10019721.759793617,2023-09-01,0.0043904223217829,2023-09-01
399,9937310.30953553,2023-09-05,-0.0082249240282081,2023-09-05
400,9908364.460393457,2023-09-06,,2023-09-06
401,9869537.9962703,2023-09-07,-0.003918554296055,2023-09-07
402,9837650.211581731,2023-09-08,-0.0032309298267677,2023-09-08
403,9852272.388369994,2023-09-11,0.0014863485155272,2023-09-11
404,9848838.89759088,2023-09-12,-0.0003484973459694,2023-09-12
405,9865397.3368373,2023-09-13,0.0016812580060043,2023-09-13
406,9951968.110523138,2023-09-14,0.008775193814301,2023-09-14
407,9909866.560724324,2023-09-15,-0.0042304747494412,2023-09-15
408,9930258.472108526,2023-09-18,0.0020577382408981,2023-09-18
409,9973633.325389547,2023-09-19,0.0043679480652845,2023-09-19
410,9917642.149804372,2023-09-20,-0.0056139195976495,2023-09-20
411,9801896.018710012,2023-09-21,-0.0116707307388221,2023-09-21
412,9754165.303747624,2023-09-22,-0.0048695390025846,2023-09-22
413,9781112.583390469,2023-09-25,0.0027626433224881,2023-09-25
414,9710127.76691994,2023-09-26,-0.0072573355909499,2023-09-26
415,9699057.872412344,2023-09-27,-0.0011400359267476,2023-09-27
416,9743738.12778744,2023-09-28,0.004606659323292,2023-09-28
417,9659283.425172657,2023-09-29,-0.0086675874810236,2023-09-29
418,9578920.87440285,2023-10-02,-0.0083197217880962,2023-10-02
419,9488549.456904972,2023-10-03,-0.0094344048440124,2023-10-03
